               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  39,            0.073373,            0.028809,                   0,             0.32893,             0.49019,             0.31686,            0.088785,            0.065151,            0.026577,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.073075,            0.026451,                   0,              0.3128,             0.42553,             0.29539,             0.10527,            0.066956,            0.025795,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.074136,            0.025886,                   0,             0.37649,             0.42857,             0.31364,            0.087361,            0.070028,            0.025266,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.073723,            0.028485,                   0,             0.47122,             0.55056,             0.40088,             0.11556,            0.069007,            0.024766,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.074205,            0.029722,                   0,             0.35148,              0.5102,             0.37063,             0.12144,            0.065826,            0.024393,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.071226,            0.029144,                   0,             0.23465,             0.58333,             0.26562,            0.089468,            0.065049,            0.025092,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.071641,            0.027554,                   0,             0.43995,             0.58923,              0.4266,             0.12773,            0.063249,            0.024701,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.070551,             0.02783,                   0,             0.38449,             0.54286,             0.38648,              0.1277,            0.064954,             0.02374,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.071822,            0.027504,                   0,             0.24365,             0.60402,              0.2484,            0.090626,            0.065888,            0.024841,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.077156,            0.025935,                   0,             0.38026,              0.5625,             0.34684,            0.080957,            0.066813,            0.023316,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.075248,            0.027227,                   0,             0.34244,             0.37838,             0.30179,            0.098672,            0.061946,            0.024313,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.069911,            0.026434,                   0,             0.49593,             0.43243,             0.40932,             0.13913,            0.060241,            0.023979,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.069909,            0.026664,                   0,              0.5057,             0.41496,             0.45799,             0.15185,            0.060178,            0.023468,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.071024,            0.030691,                   0,             0.36078,              0.4686,             0.39856,             0.13245,            0.066525,            0.022344,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.071272,             0.02896,                   0,             0.42751,             0.39474,             0.37702,              0.1248,            0.064206,            0.023171,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.070074,            0.027685,                   0,             0.42128,             0.57895,             0.47769,             0.15727,            0.065512,             0.02247,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.070328,            0.027309,                   0,             0.34744,             0.54717,             0.42108,             0.13766,            0.059382,            0.023329,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.070186,            0.028604,                   0,             0.45556,                0.46,             0.36647,             0.10864,            0.059254,            0.023622,                   0,            0.008185,            0.008185,            0.008185
                  57,              0.0692,            0.027985,                   0,             0.46386,             0.52083,             0.41707,             0.13012,            0.059125,            0.023756,                   0,            0.008152,            0.008152,            0.008152
                  58,             0.06735,            0.024454,                   0,              0.3474,             0.58333,             0.36612,             0.11742,            0.064884,              0.0248,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.071048,            0.027091,                   0,             0.36266,             0.35556,             0.28478,             0.10541,            0.064277,            0.025389,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.067315,            0.029157,                   0,             0.43114,             0.49057,             0.38894,             0.14721,            0.061157,            0.023243,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.07065,            0.025682,                   0,             0.50096,             0.57143,             0.48079,             0.15416,            0.058934,            0.023008,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.070916,            0.025829,                   0,             0.33359,             0.48176,             0.30001,             0.09032,            0.064037,            0.022507,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.068189,            0.024423,                   0,             0.34342,             0.54167,             0.39911,             0.12939,            0.061209,            0.022127,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.066887,            0.026678,                   0,               0.467,             0.59091,             0.50757,              0.1651,            0.058792,            0.022249,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.069591,            0.023999,                   0,             0.28298,             0.47662,             0.29903,             0.12058,            0.060537,            0.021345,                   0,            0.007888,            0.007888,            0.007888
                  66,             0.06803,            0.026176,                   0,             0.50985,             0.34615,             0.39222,             0.13187,            0.063713,            0.021919,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.069972,            0.026106,                   0,             0.45536,             0.45455,             0.45877,             0.16138,            0.059345,            0.021188,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.068559,            0.024581,                   0,              0.5066,             0.52273,               0.479,              0.1718,            0.060748,            0.020459,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.067378,            0.024451,                   0,             0.43655,             0.48889,             0.48989,             0.16544,            0.061987,            0.020831,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.066337,             0.02613,                   0,             0.43569,             0.46623,              0.4611,             0.15643,            0.061453,                0.02,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.067738,             0.02643,                   0,             0.38146,              0.5283,             0.41015,             0.12677,            0.063393,            0.019753,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.068919,            0.026759,                   0,             0.55928,             0.58491,             0.57056,             0.18017,            0.059273,            0.020538,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.066794,            0.026852,                   0,              0.5088,             0.50816,             0.47376,             0.16625,            0.059713,            0.020192,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.067255,            0.024957,                   0,             0.47004,             0.43512,             0.42321,             0.13595,            0.065748,            0.024324,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.072743,            0.022141,                   0,             0.43586,             0.68889,             0.57104,             0.18057,            0.058776,             0.01989,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.065738,            0.024535,                   0,             0.48807,             0.44444,             0.41829,             0.15345,            0.059528,            0.020974,                   0,            0.007525,            0.007525,            0.007525
